Implementazione,Threads,Chunk Size,Tempo Medio,Deviazione Standard
Sequenziale,-,-,49.20601391759992,0.03973149615865718
Parallel Pool,2,1432,26.276471427999788,0.11706421558613757
Parallel Pool,4,716,14.112478119399748,0.14347190708072982
Parallel Pool,6,477,14.320562463999886,0.207329868418599
Parallel Pool,8,358,14.482795538400387,0.05152786406000069
Parallel Threads,2,1432,26.848269676400378,0.04527972459803941
Parallel Threads,4,716,14.483758762400248,0.16638777422546414
Parallel Threads,6,477,15.63990047499974,0.10944180191293673
Parallel Threads,8,358,14.584569362201,0.021690962683346086
