Implementazione,Threads,Chunk Size,Tempo Medio,Deviazione Standard
Parallel Pool,4,7161,14.306928924001113,0.07247690381542307
Parallel Pool,4,716,14.160146022000845,0.13480324431108112
Parallel Pool,4,71,14.279015523999988,0.10445754858883302
Parallel Pool,4,7,14.821876509002323,0.1747947836861562
Parallel Threads,4,7161,14.363884492999205,0.07546619779497167
Parallel Threads,4,716,14.656129372000578,0.08978376878966463
Parallel Threads,4,71,15.080684452997957,0.05450764589481108
Parallel Threads,4,7,26.610781059000146,1.9340262730116884
